"","Neurotic","Extroversion","Agreeableness","Conscientiousness"
"177",25,36,61,39
"178",10,37,62,39
"179",40,30,37,40
"180",40,23,50,40
"181",8,27,55,40
"182",8,27,55,40
"183",24,31,55,40
"184",30,30,56,40
"185",13,32,41,41
"186",5,31,43,41
"187",22,33,50,41
"188",21,33,53,41
"189",23,31,58,41
"190",40,19,59,41
"191",24,33,51,42
"192",21,19,54,42
"193",19,31,57,42
"194",20,34,60,42
"195",17,35,61,42
"196",7,38,62,42
"197",30,29,59,43
"198",18,26,52,44
"199",35,11,58,44
"200",13,23,60,44
"201",NA,NA,NA,NA
"202",NA,NA,NA,NA
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",NA,NA,NA,NA
"206",NA,NA,31,NA
"207",NA,NA,49,NA
"208",NA,NA,54,NA
"209",NA,NA,54,NA
"210",NA,NA,57,NA
"211",34,22,25,7
"212",24,28,35,9
"213",39,33,40,13
"214",19,11,27,14
"215",44,23,34,14
"216",32,32,36,16
"217",35,24,44,16
"218",32,25,43,17
"219",43,33,43,17
"220",26,31,44,17
"221",36,28,38,18
"222",22,18,41,19
"223",17,29,42,19
"224",6,33,34,20
"225",20,24,35,20
"226",29,23,39,20
"227",40,24,35,21
"228",33,29,35,21
"229",29,20,37,21
"230",20,NA,38,21
"231",20,NA,38,21
"232",37,33,42,21
"233",30,9,35,22
"234",19,31,35,22
"235",34,28,39,22
"236",22,31,42,22
"237",22,30,NA,23
"238",30,33,36,23
"239",36,23,41,23
"240",36,23,41,23
"241",28,27,41,23
"242",39,31,42,23
"243",39,31,42,23
"244",26,29,43,23
"245",15,27,44,23
"246",28,33,46,23
"247",28,33,46,23
"248",28,5,27,24
"249",27,27,29,24
"250",22,27,33,24
"251",24,29,34,24
"252",10,31,35,24
"253",23,19,41,24
"254",21,18,42,24
"255",26,18,42,24
"256",14,24,43,24
"257",24,29,43,24
"258",26,26,NA,25
"259",26,26,NA,25
"260",26,26,NA,25
"261",15,33,34,25
"262",25,30,36,25
"263",40,25,38,25
"264",34,28,38,25
"265",8,33,39,25
"266",30,28,41,25
"267",29,28,41,25
"268",15,32,41,25
"269",21,33,54,25
"270",15,33,NA,26
"271",28,27,32,26
"272",20,31,32,26
"273",20,31,37,26
"274",21,20,38,26
"275",29,27,38,26
"276",33,26,40,26
"277",36,27,43,26
"278",18,21,44,26
"279",21,25,44,26
"280",32,28,44,26
"281",36,33,44,26
"282",22,29,NA,27
"283",18,29,31,27
"284",21,28,37,27
"285",26,33,37,27
"286",13,33,37,27
"287",29,24,43,27
"288",20,32,44,27
"289",27,25,33,28
"290",33,31,36,28
"291",33,31,36,28
"292",27,25,38,28
"293",25,28,38,28
"294",25,31,40,28
"295",35,16,41,28
"296",22,31,42,28
"297",26,32,44,28
"298",27,30,NA,29
"299",24,29,36,29
"300",13,33,39,29
"301",37,20,40,29
"302",37,28,40,29
"303",21,25,43,29
"304",18,26,43,29
"305",18,26,43,29
"306",17,31,44,29
"307",31,33,51,29
"308",31,33,52,29
"309",28,25,29,30
"310",19,20,39,30
"311",19,25,41,30
"312",29,33,41,30
"313",25,33,41,30
"314",34,28,42,30
"315",30,25,43,30
"316",27,31,43,30
"317",19,31,44,30
"318",25,32,44,30
"319",27,33,47,30
"320",24,33,49,30
"321",16,30,38,31
"322",27,30,39,31
"323",29,29,41,31
"324",28,30,41,31
"325",19,29,43,31
"326",20,33,47,31
"327",28,33,47,31
"328",17,33,53,31
"329",17,33,53,31
"330",17,28,31,32
"331",20,25,44,32
"332",24,30,38,33
"333",19,18,39,33
"334",17,33,41,33
"335",23,27,42,33
"336",26,30,43,33
"337",16,31,43,33
"338",17,33,48,33
"339",18,43,57,34
"340",26,25,46,45
"341",18,31,50,51
"342",18,31,50,45
"343",35,21,56,35
"344",24,23,47,35
"345",37,17,47,48
"346",24,27,49,20
"347",28,18,46,21
"348",28,28,52,21
"349",24,14,45,42
"350",24,32,46,22
"351",34,20,48,22
"352",26,22,53,32
"353",34,29,47,23
"354",19,27,51,43
"355",34,30,52,33
"356",37,21,45,24
"357",15,31,45,34
"358",37,21,47,44
"359",25,20,51,24
"360",32,27,54,34
"361",20,27,55,54
"362",24,26,59,24
"363",40,32,73,34
"364",32,20,45,35
"365",27,28,45,25
"366",35,27,47,45
"367",23,26,51,35
"368",31,31,52,55
"369",35,29,45,26
"370",8,30,45,36
"371",19,31,45,26
"372",13,29,47,36
"373",40,21,50,26
"374",27,23,55,26
"375",31,13,47,37
"376",30,23,48,47
"377",27,21,49,27
"378",27,21,49,38
"379",14,30,51,27
"380",29,17,52,35
"381",35,20,46,28
"382",21,27,46,38
"383",20,28,46,28
"384",22,26,48,38
"385",8,32,49,48
"386",20,24,55,36
"387",34,26,58,28
"388",30,31,60,38
"389",37,28,46,29
"390",13,28,48,29
"391",33,21,50,39
"392",23,31,51,29
"393",29,31,53,29
"394",28,31,45,30
"395",27,26,47,40
"396",13,29,48,50
"397",35,31,49,40
"398",35,28,50,30
"399",24,30,50,30
"400",25,27,55,30
"401",25,27,57,40
"402",37,18,47,31
"403",24,27,48,40
"404",24,26,50,31
"405",25,30,50,41
"406",25,30,50,31
"407",25,30,50,51
"408",25,30,50,31
"409",16,27,53,36
"410",41,26,56,44
"411",20,26,49,36
"412",27,30,50,36
"413",19,27,51,37
"414",15,31,51,37
"415",24,29,52,38
"416",26,30,55,38
"417",24,25,63,38
"418",39,21,45,48
"419",21,25,45,39
"420",38,29,45,49
"421",32,29,47,39
"422",24,25,48,55
"423",29,26,48,39
"424",20,31,48,51
"425",18,28,51,50
"426",14,23,54,51
"427",15,29,54,52
"428",14,39,57,55
"429",26,34,64,58
"430",21,37,57,58
"431",NA,NA,NA,NA
"432",NA,NA,NA,NA
"433",NA,NA,NA,NA
"434",NA,NA,NA,NA
